processes,matrix_size,elapsed_time_sec,user_cpu_sec,sys_cpu_sec,max_rss_kb,#context_switch
1,1000,11.755781,11.689326,0.055061,84432,25
4,1000,3.408543,3.267295,0.611896,75992,45
9,1000,2.968012,2.610707,0.908495,75112,234
16,1000,3.108986,2.900083,0.915579,75820,455
25,1000,5.844696,3.941844,1.429241,75904,122223
1,2000,103.001335,102.583683,0.370165,143420,131
4,2000,27.174363,26.543184,2.542483,108156,171
9,2000,35.366662,32.538220,10.586221,102232,142
16,2000,20.300377,19.820541,5.033948,100064,501
25,2000,27.834172,16.429550,5.358945,99496,465529
1,500,1.269566,1.245407,0.024027,69920,8
4,500,0.685065,0.640955,0.152986,67876,153
9,500,0.622960,0.561535,0.196748,68636,189
16,500,0.725717,0.646558,0.256101,68928,497
25,500,1.925584,1.026648,0.553381,69684,51912
1,1000,11.715717,11.635150,0.070891,84844,34
4,1000,4.815731,4.205191,1.159197,76168,121
9,1000,4.051533,3.584027,1.259292,74944,92
16,1000,4.136744,3.939413,1.281638,74780,465
25,1000,6.616444,3.993457,1.647112,75640,210505
1,2000,103.034187,102.596682,0.372840,143080,318
4,2000,28.229111,27.150804,3.076984,108436,99
9,2000,30.398274,28.666316,8.777314,102592,468
16,2000,17.469259,16.372600,4.039249,100316,511
25,2000,28.015681,17.696749,5.581825,100220,470853
1,500,1.262603,1.248412,0.013981,69776,13
4,500,0.696728,0.651918,0.157057,68168,83
9,500,0.665676,0.598240,0.199925,68748,302
16,500,0.624711,0.547257,0.220803,68712,375
25,500,1.357049,0.769180,0.305785,69688,41271
1,1000,11.620699,11.538052,0.071671,84452,42
4,1000,3.354693,3.232586,0.588129,76408,98
9,1000,3.485328,3.372541,1.071155,75236,305
16,1000,4.121963,3.944028,1.287340,75524,471
25,1000,6.580401,3.512920,1.628632,75512,170400
1,2000,102.775113,102.388378,0.337683,143048,309
4,2000,28.416902,27.275823,3.102956,108200,134
9,2000,21.545947,19.444120,5.526716,102516,193
16,2000,19.701270,18.601781,4.963422,100932,615
25,2000,27.567942,17.830313,5.403080,99888,485641
1,500,1.272462,1.262435,0.009914,69840,8
4,500,0.702298,0.649020,0.157442,67720,39
9,500,0.708008,0.615253,0.225214,68452,142
16,500,0.626087,0.534067,0.223197,69416,539
25,500,1.164828,0.688439,0.271187,69708,43253
1,1000,11.617211,11.551596,0.054738,84700,36
4,1000,3.392548,3.246753,0.640743,75956,145
9,1000,2.569530,2.351657,0.701209,75212,367
16,1000,4.246111,4.018558,1.291727,75196,528
25,1000,6.886641,3.881723,1.787148,75872,161327
1,2000,103.490849,103.071312,0.370439,143332,289
4,2000,27.299585,26.614196,2.714583,108288,115
9,2000,27.647958,27.179567,8.029263,102836,199
16,2000,16.172079,15.003789,3.975912,101160,611
25,2000,21.753637,12.724776,3.846581,99212,322578
1,500,1.263404,1.253342,0.009897,70068,9
4,500,0.700229,0.660017,0.185801,68040,95
9,500,0.665150,0.582094,0.210864,68544,217
16,500,0.642881,0.562095,0.223205,69604,350
25,500,1.367360,0.765191,0.361599,69112,54700
1,1000,11.556711,11.491030,0.054841,84476,31
4,1000,3.390642,3.247438,0.608230,76696,44
9,1000,2.312302,2.205467,0.609333,75508,103
16,1000,3.119104,2.861698,0.966158,75892,439
25,1000,6.267664,3.961387,1.501423,75560,143676
