MATRIX_SIZE,PROCS,ITERATION,RANK,PEAK_HEAP_BYTES
500,49,0,12,4149027
500,49,0,18,4181511
500,64,0,29,4230533
500,64,0,23,4109823
500,64,0,31,4313561
500,64,0,26,4197219
500,64,0,10,4109375
500,64,0,17,4109823
500,64,0,11,4109375
500,64,0,9,4109373
500,64,0,25,4197219
500,64,0,4,4219289
500,64,0,18,4109823
500,64,0,2,4175125
500,64,0,3,4175105
500,64,0,6,4142239
500,64,0,20,4186305
500,64,0,5,4142259
500,64,0,27,4197219
500,64,0,0,7139074
500,64,0,7,4142239
500,64,0,16,4186025
500,64,0,12,4185857
500,64,0,14,4109375
500,64,0,24,4197051
500,64,0,19,4109823
500,64,0,1,4287145
500,64,0,13,4109375
500,64,0,8,4185687
500,64,0,22,4109823
500,64,0,21,4109823
500,64,0,28,4285621
500,64,0,30,4263847
500,64,0,15,4109375
1000,1,0,0,23123677
1000,4,0,0,15013478
1000,4,0,1,7976326
1000,9,0,2,5835481
1000,9,0,0,13358187
1000,9,0,1,5770795
1000,9,0,3,5835985
1000,9,0,4,5802187
1000,16,0,1,4993341
1000,16,0,6,4991567
1000,16,0,5,4991567
1000,16,0,3,4993509
1000,16,0,7,4991567
1000,16,0,2,4993341
1000,16,0,4,4991399
1000,16,0,0,12876976
1000,25,0,4,4645485
1000,25,0,0,12753740
1000,25,0,8,4643543
1000,25,0,9,4643563
1000,25,0,10,4643433
1000,25,0,6,4677045
1000,25,0,3,4645653
1000,25,0,5,4677045
1000,25,0,12,4676879
1000,25,0,11,4643565
1000,25,0,7,4677025
1000,25,0,1,4645485
1000,25,0,2,4645485
1000,36,0,2,4497253
1000,36,0,6,4462017
1000,36,0,11,4462019
1000,36,0,7,4462017
1000,36,0,15,4462019
1000,36,0,12,4462019
1000,36,0,13,4462019
1000,36,0,9,4462017
1000,36,0,10,4462019
1000,36,0,17,4528647
1000,36,0,5,4463959
1000,36,0,1,4463939
1000,36,0,4,4463791
1000,36,0,8,4461849
1000,36,0,14,4462019
1000,36,0,3,4497421
1000,36,0,16,4528479
1000,36,0,0,12921454
1000,49,0,19,4359765
1000,49,0,5,4361853
1000,49,0,18,4359633
1000,49,0,16,4359745
1000,49,0,9,4393245
1000,49,0,13,4393227
1000,49,0,24,4426393
1000,49,0,7,4359911
1000,49,0,8,4359743
1000,49,0,6,4361853
1000,49,0,12,4393227
1000,49,0,22,4359633
1000,49,0,2,4361685
1000,49,0,23,4359765
1000,49,0,14,4393227
1000,49,0,1,4361685
1000,49,0,21,4426709
1000,49,0,17,4359765
1000,49,0,0,12968040
1000,49,0,10,4393227
1000,49,0,20,4359765
1000,49,0,3,4361853
1000,49,0,11,4393227
1000,49,0,4,4361685
1000,49,0,15,4393227
1000,64,0,22,4333735
1000,64,0,18,4333735
1000,64,0,12,4333287
1000,64,0,7,4366619
1000,64,0,9,4333285
1000,64,0,13,4333287
1000,64,0,27,4432825
1000,64,0,19,4333735
1000,64,0,26,4432825
1000,64,0,17,4333735
1000,64,0,11,4333287
1000,64,0,14,4333287
1000,64,0,4,4366431
1000,64,0,5,4366619
1000,64,0,10,4333287
1000,64,0,29,4466139
1000,64,0,8,4333137
1000,64,0,28,4466139
1000,64,0,23,4333755
1000,64,0,24,4432825
1000,64,0,1,4432163
1000,64,0,21,4333735
1000,64,0,25,4432825
1000,64,0,2,4399317
1000,64,0,3,4399465
1000,64,0,15,4333307
1000,64,0,0,15698823
1000,64,0,31,4532879
1000,64,0,16,4333567
1000,64,0,30,4499453
1000,64,0,6,4366599
1000,64,0,20,4333735
2000,1,0,0,83123692
2000,4,0,0,48013493
2000,4,0,1,19976341
2000,9,0,1,11104158
2000,9,0,0,41358174
2000,9,0,3,11104326
2000,9,0,4,11135530
2000,9,0,2,11105325
2000,16,0,1,7993356
2000,16,0,6,7991582
2000,16,0,0,38994772
2000,16,0,3,7993524
2000,16,0,4,7991414
2000,16,0,2,7993356
2000,16,0,5,7991582
2000,16,0,7,7991582
2000,25,0,2,6565500
2000,25,0,10,6563448
2000,25,0,5,6597060
2000,25,0,6,6597060
2000,25,0,4,6565500
2000,25,0,0,37926916
2000,25,0,7,6597040
2000,25,0,3,6565668
2000,25,0,12,6596894
2000,25,0,8,6563558
2000,25,0,11,6563448
2000,25,0,9,6563578
2000,25,0,1,6565500
2000,36,0,7,5800704
2000,36,0,15,5800706
2000,36,0,6,5800704
2000,36,0,12,5800706
2000,36,0,2,5835960
2000,36,0,10,5800706
2000,36,0,5,5802646
2000,36,0,14,5800706
2000,36,0,0,37887385
2000,36,0,17,5867334
2000,36,0,8,5800536
2000,36,0,1,5802626
2000,36,0,11,5800706
2000,36,0,16,5867166
2000,36,0,9,5800704
2000,36,0,3,5836128
2000,36,0,4,5802478
2000,36,0,13,5800706
2000,49,0,12,5374818
