processes,matrix_size,elapsed_time_sec,user_cpu_sec,sys_cpu_sec,max_rss_kb,#context_switch
9,500,0.591145,0.539304,0.290454,71072,52
16,500,0.565080,0.499513,0.296506,72336,77
25,500,0.597368,0.490138,0.358164,71804,171
36,500,0.625091,0.498829,0.346039,72988,298
49,500,0.715496,0.518350,0.403870,73336,225
64,500,0.935030,0.719614,0.531607,75888,554
1,1000,6.964133,6.899455,0.055652,79364,17
4,1000,2.876148,2.780541,0.893204,80240,50
9,1000,2.195667,2.101550,0.955878,77832,134
16,1000,1.953078,1.807919,0.977258,77096,56
25,1000,1.953035,1.748522,1.072309,77072,101
36,1000,2.063993,1.714989,1.220420,77068,204
49,1000,2.201725,1.785935,1.277287,79700,649
64,1000,2.608724,2.368662,1.461002,83256,487
1,2000,55.057994,54.656987,0.359590,138192,99
4,2000,17.036499,16.792487,3.775727,112040,56
9,2000,11.483780,11.223554,4.134158,105976,61
16,2000,8.581102,8.284382,3.674544,103528,136
25,2000,7.666780,7.314991,3.721958,102340,146
36,2000,8.358191,7.278008,4.502146,101008,361
49,2000,10.494207,9.927147,6.047183,102248,442
64,2000,10.045609,9.415734,5.330319,103196,672
1,500,1.079715,1.067866,0.011744,64448,7
4,500,0.655938,0.608326,0.268202,71684,38
9,500,0.585924,0.518313,0.292365,70820,65
16,500,0.551539,0.461950,0.279088,71808,114
1,1000,6.982669,6.921103,0.052554,79468,19
4,1000,2.915612,2.837219,0.920484,79584,45
9,1000,2.174879,2.072925,0.947509,78132,73
16,1000,1.981661,1.837643,1.015506,77112,69
1,2000,53.655275,53.253991,0.354532,138156,145
4,2000,16.853558,16.532512,3.688999,112144,68
9,2000,10.611619,10.337491,3.623202,105584,59
16,2000,8.585440,8.317650,3.648314,102256,177
1,500,1.084247,1.062274,0.021879,64340,10
4,500,0.654550,0.603882,0.255262,71608,43
9,500,0.576362,0.503278,0.293752,72060,34
16,500,0.531030,0.464485,0.280042,71444,105
1,1000,6.920772,6.852526,0.057508,79348,24
4,1000,2.907316,2.812826,0.881079,79096,39
9,1000,2.188782,2.067419,0.982835,77152,104
16,1000,1.940656,1.787562,0.992534,77140,152
1,2000,52.612254,52.240805,0.325246,138312,76
4,2000,16.618576,16.350391,3.502034,111764,49
9,2000,10.667878,10.419427,3.668352,105624,82
16,2000,8.559100,8.269562,3.643615,102416,72
1,500,1.087065,1.073165,0.013788,64704,6
4,500,0.646178,0.596457,0.246887,72004,34
9,500,0.575919,0.502770,0.287129,71080,44
16,500,0.559194,0.484994,0.302092,71092,85
1,1000,6.933308,6.858532,0.065615,79644,15
4,1000,2.884882,2.789787,0.943087,80396,43
9,1000,2.149707,2.045396,0.914003,79020,55
16,1000,1.912478,1.765377,0.966227,77736,89
1,2000,54.064941,53.630873,0.391434,138128,119
4,2000,16.619899,16.356297,3.562587,112084,61
9,2000,10.759519,10.481320,3.707691,104644,57
16,2000,8.543604,8.277721,3.698238,102532,94
1,500,1.083918,1.060926,0.022884,64608,7
4,500,0.679870,0.624141,0.292590,71548,39
9,500,0.566284,0.494821,0.278298,71852,78
16,500,0.552028,0.494969,0.296851,71088,122
1,1000,6.933262,6.871022,0.052615,79488,17
4,1000,2.893634,2.807941,0.947824,79844,26
9,1000,2.149532,2.033946,0.945665,77324,83
16,1000,1.952506,1.820114,0.972253,77688,138
1,2000,53.699956,53.247190,0.405471,138204,133
4,2000,16.730049,16.460985,3.557124,111728,50
9,2000,10.612943,10.336200,3.607207,104968,100
16,2000,8.498161,8.188085,3.579760,102532,90
1,500,1.079428,1.065472,0.013820,64712,9
4,500,0.694705,0.647127,0.294389,71336,21
9,500,0.589485,0.521444,0.293773,69780,46
16,500,0.529677,0.468903,0.285137,71584,29
1,1000,6.932377,6.867799,0.055549,79328,18
4,1000,2.882469,2.787353,0.912376,80324,41
9,1000,2.195489,2.082201,0.954881,78740,50
16,1000,1.977399,1.821105,1.011806,76960,101
1,2000,54.023489,53.619561,0.351494,138040,132
4,2000,16.810163,16.564290,3.710322,112088,64
9,2000,11.347634,11.079260,4.135820,105936,50
16,2000,8.574865,8.267762,3.662086,103864,118
1,500,1.100139,1.072129,0.027881,64436,10
4,500,0.644854,0.601136,0.277376,71860,39
9,500,0.586157,0.528715,0.294241,71188,37
16,500,0.553535,0.474953,0.294801,71340,124
1,1000,6.932841,6.863300,0.059698,79432,22
4,1000,2.898576,2.806127,0.920339,80136,20
9,1000,2.173335,2.075351,0.943146,78304,49
16,1000,1.958753,1.829233,0.984061,76888,49
1,2000,54.100569,53.672734,0.386471,138384,118
4,2000,16.725795,16.438151,3.585461,112384,57
9,2000,10.615197,10.348073,3.590945,105060,60
16,2000,8.471745,8.197098,3.590863,102288,69
1,500,1.097773,1.073743,0.023914,64336,7
4,500,0.653369,0.608653,0.249300,71856,37
9,500,0.565843,0.499772,0.286580,71296,43
16,500,0.550403,0.478529,0.287646,70836,58
1,1000,6.926607,6.858396,0.058547,79588,11
4,1000,2.909104,2.826597,0.890870,79352,44
9,1000,2.180623,2.079042,0.937262,78056,59
16,1000,1.954465,1.802890,0.972414,77440,76
1,2000,52.832658,52.431016,0.357450,138176,70
4,2000,16.721018,16.413302,3.631896,111548,60
9,2000,10.652745,10.374682,3.626579,105308,114
16,2000,8.320891,8.057776,3.475008,102488,74
1,500,1.085267,1.070372,0.014800,64452,6
4,500,0.649611,0.604244,0.267333,71796,37
9,500,0.589444,0.522943,0.297787,71592,49
16,500,0.564235,0.501673,0.311451,71452,73
1,1000,6.931959,6.868211,0.053763,79128,15
4,1000,2.902295,2.812893,0.924891,80024,44
9,1000,2.192786,2.092208,0.945553,78904,47
16,1000,1.953227,1.822812,0.971314,77400,172
1,2000,53.684782,53.283443,0.353534,138212,108
4,2000,16.642153,16.377786,3.524675,112432,60
9,2000,10.649894,10.403880,3.630178,105612,51
16,2000,8.430454,8.108891,3.578529,102372,80
1,500,1.089083,1.064090,0.024866,65192,10
4,500,0.649503,0.598852,0.263232,72104,34
9,500,0.572495,0.518844,0.279318,70000,83
16,500,0.561896,0.479896,0.298073,71788,154
1,1000,6.934777,6.862159,0.063647,79484,20
4,1000,2.924241,2.831753,0.936877,80024,37
9,1000,2.170860,2.070950,0.962156,77368,78
16,1000,1.942257,1.796362,0.968489,77304,104
1,2000,54.074858,53.667857,0.359531,137824,177
4,2000,16.801525,16.454924,3.662683,111888,54
9,2000,10.585930,10.303448,3.610658,106112,70
16,2000,8.598453,8.313588,3.660711,103672,98
1,500,1.087575,1.067539,0.019894,64940,8
4,500,0.649013,0.599399,0.265084,71076,38
9,500,0.592906,0.532195,0.284176,71080,123
16,500,0.543073,0.470967,0.304373,71940,108
